order_id,material_id,item_id,source,destination,available_time,deadline,danger_type,area,weight,order_size
ORD000027,PROD001,ITEM000027,Bangalore_Hub,Bhopal_DC,2025-11-01 21:20:58,2025-11-08 14:20:58,Hazardous,0.1,0.4,large
ORD000028,PROD014,ITEM000028,Chandigarh_Facility,Indore_Facility,2025-10-08 21:20:58,2025-10-13 20:20:58,Hazardous,0.15,0.77,small
ORD000029,PROD011,ITEM000029,Amritsar_DC,Ahmedabad_DC,2025-11-13 21:20:58,2025-11-19 19:20:58,Normal,0.31,1.39,medium
ORD000030,PROD001,ITEM000030,Kolkata_Center,Delhi_DC,2025-10-29 21:20:58,2025-11-05 03:20:58,Fragile,0.08,0.4,large
ORD000031,PROD006,ITEM000031,Indore_Facility,Vadodara_Center,2025-10-06 21:20:58,2025-10-13 15:20:58,Perishable,0.37,0.93,small
ORD000032,PROD010,ITEM000032,Chennai_Distribution,Patna_WH,2025-10-22 21:20:58,2025-10-26 20:20:58,Perishable,1.15,4.65,medium
ORD000033,PROD002,ITEM000033,Ahmedabad_DC,Indore_Facility,2025-10-05 21:20:58,2025-10-10 19:20:58,Normal,2.28,4.65,medium
ORD000034,PROD004,ITEM000034,Indore_Facility,Jaipur_Hub,2025-11-10 21:20:58,2025-11-16 17:20:58,Normal,0.04,0.22,large
ORD000035,PROD004,ITEM000035,Delhi_DC,Nagpur_Distribution,2025-11-09 21:20:58,2025-11-16 21:20:58,Fragile,0.13,0.3,large
ORD000036,PROD014,ITEM000036,Chandigarh_Facility,Pune_Facility,2025-09-23 21:20:58,2025-09-27 08:20:58,Normal,0.21,1.32,large
ORD000037,PROD003,ITEM000037,Jaipur_Hub,Kolkata_Center,2025-10-14 21:20:58,2025-10-18 13:20:58,Fragile,0.29,2.0,small
ORD000038,PROD013,ITEM000038,Mumbai_Warehouse,Indore_Facility,2025-09-28 21:20:58,2025-10-02 09:20:58,Normal,0.63,5.92,medium
ORD000039,PROD009,ITEM000039,Kolkata_Center,Surat_Hub,2025-11-10 21:20:58,2025-11-12 13:20:58,Normal,10.43,25.36,large
ORD000040,PROD004,ITEM000040,Surat_Hub,Ranchi_Distribution,2025-09-18 21:20:58,2025-09-20 08:20:58,Hazardous,0.32,0.7,large
ORD000041,PROD001,ITEM000041,Surat_Hub,Mumbai_Warehouse,2025-10-18 21:20:58,2025-10-24 03:20:58,Perishable,0.11,0.78,large
ORD000042,PROD006,ITEM000042,Bangalore_Hub,Chennai_Distribution,2025-10-10 21:20:58,2025-10-13 10:20:58,Hazardous,0.08,0.4,large
ORD000043,PROD005,ITEM000043,Indore_Facility,Ranchi_Distribution,2025-10-19 21:20:58,2025-10-26 06:20:58,Normal,0.11,0.81,large
ORD000044,PROD007,ITEM000044,Ranchi_Distribution,Pune_Facility,2025-10-20 21:20:58,2025-10-24 07:20:58,Perishable,3.31,7.67,medium
ORD000045,PROD007,ITEM000045,Chennai_Distribution,Nagpur_Distribution,2025-10-28 21:20:58,2025-11-01 14:20:58,Normal,1.16,7.18,medium
ORD000046,PROD002,ITEM000046,Bangalore_Hub,Chennai_Distribution,2025-10-21 21:20:58,2025-10-23 21:20:58,Normal,1.47,5.9,small
ORD000047,PROD009,ITEM000047,Chandigarh_Facility,Ranchi_Distribution,2025-10-27 21:20:58,2025-10-30 04:20:58,Normal,10.3,22.91,medium
ORD000048,PROD006,ITEM000048,Lucknow_Center,Kanpur_WH,2025-11-11 21:20:58,2025-11-18 06:20:58,Normal,0.22,0.62,small
ORD000049,PROD006,ITEM000049,Nagpur_Distribution,Chandigarh_Facility,2025-11-10 21:20:58,2025-11-14 20:20:58,Normal,0.49,1.16,large
ORD000050,PROD001,ITEM000050,Amritsar_DC,Jaipur_Hub,2025-11-06 21:20:58,2025-11-10 18:20:58,Hazardous,0.25,1.13,medium
ORD000051,PROD014,ITEM000051,Mumbai_Warehouse,Pune_Facility,2025-11-08 21:20:58,2025-11-15 21:20:58,Normal,0.27,2.14,large
ORD000052,PROD004,ITEM000052,Bangalore_Hub,Ranchi_Distribution,2025-10-24 21:20:58,2025-10-30 08:20:58,Hazardous,0.08,0.49,medium
ORD000053,PROD015,ITEM000053,Chandigarh_Facility,Bangalore_Hub,2025-11-14 21:20:58,2025-11-17 12:20:58,Normal,0.09,0.27,large
ORD000054,PROD011,ITEM000054,Jaipur_Hub,Vadodara_Center,2025-10-21 21:20:58,2025-10-28 01:20:58,Normal,0.27,1.01,small
ORD000055,PROD002,ITEM000055,Nagpur_Distribution,Surat_Hub,2025-10-30 21:20:58,2025-11-06 01:20:58,Perishable,1.01,4.54,small
ORD000056,PROD001,ITEM000056,Amritsar_DC,Delhi_DC,2025-11-04 21:20:58,2025-11-09 02:20:58,Hazardous,0.58,1.43,medium
ORD000057,PROD001,ITEM000057,Kanpur_WH,Chennai_Distribution,2025-10-17 21:20:58,2025-10-23 11:20:58,Fragile,0.12,0.47,large
ORD000058,PROD014,ITEM000058,Patna_WH,Chandigarh_Facility,2025-10-06 21:20:58,2025-10-11 15:20:58,Perishable,0.3,0.68,small
ORD000059,PROD015,ITEM000059,Mumbai_Warehouse,Vadodara_Center,2025-11-13 21:20:58,2025-11-18 05:20:58,Perishable,0.19,0.58,large
ORD000060,PROD007,ITEM000060,Lucknow_Center,Chennai_Distribution,2025-11-16 21:20:58,2025-11-21 08:20:58,Hazardous,2.23,4.65,medium
ORD000061,PROD014,ITEM000061,Bangalore_Hub,Surat_Hub,2025-11-11 21:20:58,2025-11-15 11:20:58,Perishable,0.41,1.59,small
ORD000062,PROD004,ITEM000062,Lucknow_Center,Nagpur_Distribution,2025-10-27 21:20:58,2025-10-30 16:20:58,Fragile,0.07,0.21,large
ORD000063,PROD012,ITEM000063,Nagpur_Distribution,Indore_Facility,2025-09-26 21:20:58,2025-09-29 10:20:58,Fragile,0.21,1.31,small
ORD000064,PROD013,ITEM000064,Amritsar_DC,Kolkata_Center,2025-09-30 21:20:58,2025-10-02 16:20:58,Perishable,1.16,2.83,medium
ORD000065,PROD008,ITEM000065,Chandigarh_Facility,Amritsar_DC,2025-10-05 21:20:58,2025-10-12 21:20:58,Hazardous,2.08,4.21,medium
ORD000066,PROD002,ITEM000066,Kolkata_Center,Vadodara_Center,2025-10-18 21:20:58,2025-10-24 14:20:58,Normal,2.18,5.2,large
ORD000067,PROD002,ITEM000067,Nagpur_Distribution,Ranchi_Distribution,2025-10-29 21:20:58,2025-11-04 19:20:58,Normal,0.5,4.07,medium
ORD000068,PROD007,ITEM000068,Bangalore_Hub,Ranchi_Distribution,2025-10-19 21:20:58,2025-10-26 18:20:58,Perishable,5.71,14.43,small
ORD000069,PROD006,ITEM000069,Chandigarh_Facility,Pune_Facility,2025-10-10 21:20:58,2025-10-16 22:20:58,Normal,0.51,1.05,medium
ORD000070,PROD009,ITEM000070,Kanpur_WH,Bangalore_Hub,2025-10-07 21:20:58,2025-10-10 17:20:58,Fragile,3.44,8.97,medium
ORD000071,PROD015,ITEM000071,Nagpur_Distribution,Indore_Facility,2025-10-30 21:20:58,2025-11-05 00:20:58,Normal,0.11,0.46,large
ORD000072,PROD006,ITEM000072,Kanpur_WH,Bangalore_Hub,2025-11-11 21:20:58,2025-11-18 19:20:58,Fragile,0.28,1.32,large
ORD000073,PROD010,ITEM000073,Kanpur_WH,Bangalore_Hub,2025-10-06 21:20:58,2025-10-09 09:20:58,Perishable,5.0,22.33,large
ORD000074,PROD005,ITEM000074,Kolkata_Center,Bangalore_Hub,2025-10-13 21:20:58,2025-10-18 21:20:58,Normal,0.19,0.84,small
ORD000075,PROD006,ITEM000075,Bhopal_DC,Ranchi_Distribution,2025-11-16 21:20:58,2025-11-21 17:20:58,Perishable,0.37,0.76,medium
ORD000076,PROD003,ITEM000076,Pune_Facility,Jaipur_Hub,2025-11-08 21:20:58,2025-11-10 16:20:58,Normal,0.41,0.99,large
ORD000077,PROD010,ITEM000077,Kanpur_WH,Kolkata_Center,2025-10-24 21:20:58,2025-10-27 12:20:58,Fragile,3.13,7.24,large
ORD000078,PROD007,ITEM000078,Surat_Hub,Delhi_DC,2025-10-25 21:20:58,2025-10-29 09:20:58,Perishable,5.03,14.62,large
ORD000079,PROD004,ITEM000079,Ahmedabad_DC,Chandigarh_Facility,2025-10-29 21:20:58,2025-11-04 21:20:58,Perishable,0.15,0.83,large
ORD000080,PROD013,ITEM000080,Surat_Hub,Lucknow_Center,2025-10-24 21:20:58,2025-10-31 05:20:58,Fragile,2.66,5.46,small
ORD000081,PROD011,ITEM000081,Jaipur_Hub,Delhi_DC,2025-10-18 21:20:58,2025-10-23 20:20:58,Normal,0.13,0.94,large
ORD000082,PROD013,ITEM000082,Lucknow_Center,Bangalore_Hub,2025-11-07 21:20:58,2025-11-11 18:20:58,Normal,1.49,4.87,medium
ORD000083,PROD015,ITEM000083,Ahmedabad_DC,Vadodara_Center,2025-10-26 21:20:58,2025-10-28 03:20:58,Fragile,0.12,0.46,medium
ORD000084,PROD006,ITEM000084,Indore_Facility,Bangalore_Hub,2025-11-03 21:20:58,2025-11-05 04:20:58,Hazardous,0.11,0.78,large
ORD000085,PROD001,ITEM000085,Kolkata_Center,Hyderabad_WH,2025-10-30 21:20:58,2025-11-05 21:20:58,Perishable,0.17,1.12,large
ORD000086,PROD015,ITEM000086,Surat_Hub,Mumbai_Warehouse,2025-11-12 21:20:58,2025-11-14 01:20:58,Perishable,0.15,0.34,large
ORD000087,PROD004,ITEM000087,Chennai_Distribution,Kanpur_WH,2025-10-29 21:20:58,2025-11-01 04:20:58,Perishable,0.05,0.19,large
ORD000088,PROD014,ITEM000088,Bangalore_Hub,Kolkata_Center,2025-09-21 21:20:58,2025-09-28 04:20:58,Fragile,0.21,1.99,large
ORD000089,PROD007,ITEM000089,Kolkata_Center,Kanpur_WH,2025-11-17 21:20:58,2025-11-22 15:20:58,Normal,1.47,5.51,large
ORD000090,PROD002,ITEM000090,Patna_WH,Nagpur_Distribution,2025-10-15 21:20:58,2025-10-22 16:20:58,Normal,2.19,4.42,large
ORD000091,PROD001,ITEM000091,Indore_Facility,Patna_WH,2025-10-08 21:20:58,2025-10-14 00:20:58,Hazardous,0.3,1.48,small
ORD000092,PROD004,ITEM000092,Bangalore_Hub,Indore_Facility,2025-10-02 21:20:58,2025-10-04 23:20:58,Fragile,0.29,0.73,medium
ORD000093,PROD009,ITEM000093,Delhi_DC,Indore_Facility,2025-10-27 21:20:58,2025-10-30 17:20:58,Perishable,14.45,38.64,large
ORD000094,PROD002,ITEM000094,Hyderabad_WH,Kolkata_Center,2025-10-03 21:20:58,2025-10-09 18:20:58,Normal,0.27,1.48,small
ORD000095,PROD009,ITEM000095,Kanpur_WH,Lucknow_Center,2025-10-23 21:20:58,2025-10-30 16:20:58,Fragile,2.89,25.25,large
ORD000096,PROD014,ITEM000096,Lucknow_Center,Indore_Facility,2025-09-29 21:20:58,2025-10-01 09:20:58,Hazardous,0.62,2.66,small
ORD000097,PROD012,ITEM000097,Bhopal_DC,Indore_Facility,2025-10-20 21:20:58,2025-10-25 23:20:58,Perishable,0.28,1.62,large
ORD000098,PROD005,ITEM000098,Nagpur_Distribution,Ranchi_Distribution,2025-09-27 21:20:58,2025-09-29 18:20:58,Fragile,0.12,0.93,large
ORD000099,PROD006,ITEM000099,Ranchi_Distribution,Lucknow_Center,2025-11-11 21:20:58,2025-11-13 17:20:58,Perishable,0.17,0.79,medium
ORD000100,PROD006,ITEM000100,Hyderabad_WH,Vadodara_Center,2025-10-20 21:20:58,2025-10-22 07:20:58,Perishable,0.65,1.39,large
ORD000101,PROD002,ITEM000101,Jaipur_Hub,Delhi_DC,2025-10-06 21:20:58,2025-10-12 04:20:58,Fragile,1.48,3.52,large
ORD000102,PROD014,ITEM000102,Mumbai_Warehouse,Hyderabad_WH,2025-10-10 21:20:58,2025-10-16 13:20:58,Hazardous,0.07,0.59,large
ORD000103,PROD010,ITEM000103,Nagpur_Distribution,Bhopal_DC,2025-11-15 21:20:58,2025-11-18 12:20:58,Perishable,8.43,17.58,medium
ORD000104,PROD003,ITEM000104,Bangalore_Hub,Amritsar_DC,2025-10-15 21:20:58,2025-10-20 18:20:58,Normal,0.43,1.2,small
ORD000105,PROD008,ITEM000105,Mumbai_Warehouse,Pune_Facility,2025-10-15 21:20:58,2025-10-21 00:20:58,Perishable,0.82,5.57,medium
ORD000106,PROD012,ITEM000106,Pune_Facility,Kanpur_WH,2025-09-20 21:20:58,2025-09-27 02:20:58,Perishable,0.19,1.2,small
ORD000107,PROD002,ITEM000107,Hyderabad_WH,Vadodara_Center,2025-09-27 21:20:58,2025-10-02 06:20:58,Hazardous,2.08,5.42,large
ORD000108,PROD012,ITEM000108,Lucknow_Center,Hyderabad_WH,2025-10-03 21:20:58,2025-10-06 17:20:58,Fragile,0.9,2.98,small
ORD000109,PROD013,ITEM000109,Kolkata_Center,Jaipur_Hub,2025-10-17 21:20:58,2025-10-19 03:20:58,Fragile,1.38,4.21,medium
ORD000110,PROD002,ITEM000110,Amritsar_DC,Bangalore_Hub,2025-10-29 21:20:58,2025-11-04 02:20:58,Perishable,2.91,7.5,large
ORD000111,PROD002,ITEM000111,Bhopal_DC,Amritsar_DC,2025-11-09 21:20:58,2025-11-14 06:20:58,Hazardous,1.47,5.26,large
ORD000112,PROD011,ITEM000112,Kolkata_Center,Chandigarh_Facility,2025-10-11 21:20:58,2025-10-14 19:20:58,Normal,0.18,1.21,large
ORD000113,PROD003,ITEM000113,Chennai_Distribution,Ranchi_Distribution,2025-10-29 21:20:58,2025-11-01 15:20:58,Hazardous,0.34,0.72,small
ORD000114,PROD014,ITEM000114,Patna_WH,Lucknow_Center,2025-11-12 21:20:58,2025-11-16 13:20:58,Fragile,0.48,0.99,medium
ORD000115,PROD002,ITEM000115,Lucknow_Center,Chandigarh_Facility,2025-10-16 21:20:58,2025-10-19 16:20:58,Hazardous,1.64,4.95,small
ORD000116,PROD014,ITEM000116,Chandigarh_Facility,Delhi_DC,2025-09-23 21:20:58,2025-09-25 04:20:58,Hazardous,0.34,0.7,large
ORD000117,PROD007,ITEM000117,Pune_Facility,Amritsar_DC,2025-10-09 21:20:58,2025-10-11 04:20:58,Hazardous,3.06,8.73,medium
ORD000118,PROD013,ITEM000118,Vadodara_Center,Ahmedabad_DC,2025-09-27 21:20:58,2025-10-03 04:20:58,Fragile,0.48,3.73,small
ORD000119,PROD008,ITEM000119,Surat_Hub,Bhopal_DC,2025-10-19 21:20:58,2025-10-23 01:20:58,Hazardous,0.43,2.7,large
ORD000120,PROD003,ITEM000120,Nagpur_Distribution,Bhopal_DC,2025-09-30 21:20:58,2025-10-05 19:20:58,Perishable,0.2,1.43,small
ORD000121,PROD008,ITEM000121,Chennai_Distribution,Lucknow_Center,2025-11-02 21:20:58,2025-11-05 09:20:58,Perishable,0.32,1.48,medium
ORD000122,PROD014,ITEM000122,Ahmedabad_DC,Hyderabad_WH,2025-10-28 21:20:58,2025-11-02 05:20:58,Perishable,0.16,0.97,large
ORD000123,PROD008,ITEM000123,Vadodara_Center,Lucknow_Center,2025-11-16 21:20:58,2025-11-18 20:20:58,Fragile,1.73,5.73,small
ORD000124,PROD001,ITEM000124,Chandigarh_Facility,Nagpur_Distribution,2025-11-14 21:20:58,2025-11-18 21:20:58,Perishable,0.39,0.87,large
ORD000125,PROD001,ITEM000125,Lucknow_Center,Chandigarh_Facility,2025-09-24 21:20:58,2025-09-27 00:20:58,Hazardous,0.36,0.79,large
ORD000126,PROD001,ITEM000126,Indore_Facility,Nagpur_Distribution,2025-10-23 21:20:58,2025-10-25 10:20:58,Hazardous,0.17,0.96,large
ORD000127,PROD009,ITEM000127,Bangalore_Hub,Bhopal_DC,2025-10-20 21:20:58,2025-10-27 17:20:58,Normal,8.92,17.99,large
ORD000128,PROD007,ITEM000128,Kolkata_Center,Chennai_Distribution,2025-10-25 21:20:58,2025-10-30 11:20:58,Fragile,2.33,9.47,small
ORD000129,PROD007,ITEM000129,Amritsar_DC,Patna_WH,2025-10-16 21:20:58,2025-10-18 07:20:58,Perishable,0.48,3.07,medium
ORD000130,PROD003,ITEM000130,Patna_WH,Surat_Hub,2025-10-10 21:20:58,2025-10-17 08:20:58,Fragile,0.32,0.68,medium
ORD000131,PROD010,ITEM000131,Indore_Facility,Lucknow_Center,2025-10-27 21:20:58,2025-11-03 06:20:58,Hazardous,6.44,20.57,large
ORD000132,PROD006,ITEM000132,Vadodara_Center,Mumbai_Warehouse,2025-10-27 21:20:58,2025-10-30 01:20:58,Normal,0.59,1.77,large
ORD000133,PROD005,ITEM000133,Amritsar_DC,Vadodara_Center,2025-10-07 21:20:58,2025-10-11 07:20:58,Perishable,0.31,0.92,small
ORD000134,PROD001,ITEM000134,Kolkata_Center,Jaipur_Hub,2025-10-12 21:20:58,2025-10-15 01:20:58,Fragile,0.14,0.49,medium
ORD000135,PROD007,ITEM000135,Bhopal_DC,Pune_Facility,2025-10-16 21:20:58,2025-10-22 21:20:58,Fragile,5.29,13.41,small
ORD000136,PROD009,ITEM000136,Patna_WH,Pune_Facility,2025-10-28 21:20:58,2025-11-03 23:20:58,Perishable,6.14,27.21,small
ORD000137,PROD009,ITEM000137,Ranchi_Distribution,Kanpur_WH,2025-10-26 21:20:58,2025-10-30 16:20:58,Hazardous,5.37,30.38,small
ORD000138,PROD004,ITEM000138,Ranchi_Distribution,Lucknow_Center,2025-09-18 21:20:58,2025-09-23 01:20:58,Perishable,0.28,0.73,large
ORD000139,PROD006,ITEM000139,Kanpur_WH,Patna_WH,2025-10-13 21:20:58,2025-10-17 19:20:58,Perishable,0.24,0.73,large
ORD000140,PROD013,ITEM000140,Indore_Facility,Nagpur_Distribution,2025-09-27 21:20:58,2025-09-30 10:20:58,Normal,0.79,3.68,large
ORD000141,PROD011,ITEM000141,Nagpur_Distribution,Vadodara_Center,2025-11-01 21:20:58,2025-11-07 23:20:58,Hazardous,0.22,0.52,medium
ORD000142,PROD010,ITEM000142,Kolkata_Center,Chennai_Distribution,2025-10-01 21:20:58,2025-10-05 10:20:58,Fragile,3.26,8.85,large
ORD000143,PROD002,ITEM000143,Ahmedabad_DC,Delhi_DC,2025-10-22 21:20:58,2025-10-27 09:20:58,Normal,0.8,5.73,small
ORD000144,PROD007,ITEM000144,Ranchi_Distribution,Hyderabad_WH,2025-10-07 21:20:58,2025-10-13 22:20:58,Hazardous,1.52,8.47,medium
ORD000145,PROD015,ITEM000145,Lucknow_Center,Delhi_DC,2025-09-29 21:20:58,2025-10-01 19:20:58,Normal,0.12,0.64,large
ORD000146,PROD015,ITEM000146,Hyderabad_WH,Surat_Hub,2025-09-25 21:20:58,2025-09-28 18:20:58,Perishable,0.1,0.85,medium
ORD000147,PROD015,ITEM000147,Hyderabad_WH,Kanpur_WH,2025-11-15 21:20:58,2025-11-16 23:20:58,Hazardous,0.13,0.37,medium
ORD000148,PROD009,ITEM000148,Surat_Hub,Chandigarh_Facility,2025-10-17 21:20:58,2025-10-20 07:20:58,Normal,11.32,39.41,small
ORD000149,PROD012,ITEM000149,Kanpur_WH,Hyderabad_WH,2025-10-19 21:20:58,2025-10-23 14:20:58,Hazardous,0.29,2.76,medium
ORD000150,PROD003,ITEM000150,Chandigarh_Facility,Pune_Facility,2025-10-09 21:20:58,2025-10-15 04:20:58,Perishable,0.63,2.05,small
ORD000151,PROD003,ITEM000151,Chennai_Distribution,Pune_Facility,2025-10-18 21:20:58,2025-10-23 07:20:58,Fragile,0.23,2.27,medium
ORD000152,PROD006,ITEM000152,Surat_Hub,Jaipur_Hub,2025-10-29 21:20:58,2025-10-30 23:20:58,Normal,0.17,0.69,small
ORD000153,PROD005,ITEM000153,Chennai_Distribution,Vadodara_Center,2025-11-07 21:20:58,2025-11-13 04:20:58,Hazardous,0.42,0.89,large
ORD000154,PROD006,ITEM000154,Chennai_Distribution,Kanpur_WH,2025-10-09 21:20:58,2025-10-13 05:20:58,Perishable,0.1,0.63,small
ORD000155,PROD007,ITEM000155,Amritsar_DC,Nagpur_Distribution,2025-10-04 21:20:58,2025-10-11 17:20:58,Fragile,5.6,13.91,large
ORD000156,PROD009,ITEM000156,Ahmedabad_DC,Bangalore_Hub,2025-10-20 21:20:58,2025-10-27 12:20:58,Normal,4.45,33.89,large
ORD000157,PROD015,ITEM000157,Delhi_DC,Chandigarh_Facility,2025-10-16 21:20:58,2025-10-20 00:20:58,Perishable,0.09,0.58,medium
ORD000158,PROD012,ITEM000158,Chennai_Distribution,Ahmedabad_DC,2025-10-11 21:20:58,2025-10-18 02:20:58,Perishable,0.26,0.87,small
ORD000159,PROD007,ITEM000159,Kolkata_Center,Ranchi_Distribution,2025-10-19 21:20:58,2025-10-26 21:20:58,Normal,0.92,3.22,medium
ORD000160,PROD014,ITEM000160,Indore_Facility,Jaipur_Hub,2025-11-17 21:20:58,2025-11-21 04:20:58,Normal,0.23,1.95,medium
ORD000161,PROD015,ITEM000161,Ranchi_Distribution,Delhi_DC,2025-09-21 21:20:58,2025-09-23 14:20:58,Perishable,0.26,0.89,medium
ORD000162,PROD013,ITEM000162,Hyderabad_WH,Kolkata_Center,2025-10-07 21:20:58,2025-10-13 08:20:58,Perishable,1.97,4.31,medium
ORD000163,PROD011,ITEM000163,Indore_Facility,Bangalore_Hub,2025-10-06 21:20:58,2025-10-13 15:20:58,Fragile,0.19,0.42,small
ORD000164,PROD009,ITEM000164,Ranchi_Distribution,Indore_Facility,2025-11-09 21:20:58,2025-11-13 06:20:58,Perishable,15.62,38.81,medium
ORD000165,PROD009,ITEM000165,Ranchi_Distribution,Bhopal_DC,2025-10-24 21:20:58,2025-10-28 07:20:58,Fragile,4.0,16.78,medium
ORD000166,PROD013,ITEM000166,Chennai_Distribution,Delhi_DC,2025-10-06 21:20:58,2025-10-12 08:20:58,Fragile,2.9,6.11,small
ORD000167,PROD002,ITEM000167,Pune_Facility,Bangalore_Hub,2025-10-10 21:20:58,2025-10-12 05:20:58,Fragile,1.49,4.04,small
ORD000168,PROD008,ITEM000168,Delhi_DC,Bhopal_DC,2025-11-03 21:20:58,2025-11-10 15:20:58,Fragile,0.93,2.09,small
ORD000169,PROD004,ITEM000169,Patna_WH,Lucknow_Center,2025-09-26 21:20:58,2025-10-01 06:20:58,Fragile,0.24,0.58,medium
ORD000170,PROD011,ITEM000170,Lucknow_Center,Kolkata_Center,2025-10-15 21:20:58,2025-10-19 05:20:58,Fragile,0.16,0.77,large
ORD000171,PROD008,ITEM000171,Bhopal_DC,Chandigarh_Facility,2025-11-14 21:20:58,2025-11-19 13:20:58,Hazardous,2.1,5.71,large
ORD000172,PROD003,ITEM000172,Bhopal_DC,Surat_Hub,2025-10-29 21:20:58,2025-11-03 21:20:58,Fragile,0.24,0.77,small
ORD000173,PROD013,ITEM000173,Lucknow_Center,Kolkata_Center,2025-10-19 21:20:58,2025-10-21 11:20:58,Fragile,2.79,5.72,large
ORD000174,PROD005,ITEM000174,Indore_Facility,Ahmedabad_DC,2025-11-04 21:20:58,2025-11-09 09:20:58,Normal,0.4,0.85,medium
ORD000175,PROD001,ITEM000175,Ranchi_Distribution,Pune_Facility,2025-10-31 21:20:58,2025-11-05 21:20:58,Fragile,0.37,1.09,small
ORD000176,PROD004,ITEM000176,Chandigarh_Facility,Ranchi_Distribution,2025-10-18 21:20:58,2025-10-22 02:20:58,Fragile,0.19,0.8,small
ORD000177,PROD012,ITEM000177,Pune_Facility,Chennai_Distribution,2025-09-30 21:20:58,2025-10-06 23:20:58,Fragile,1.26,3.34,large
ORD000178,PROD009,ITEM000178,Indore_Facility,Ahmedabad_DC,2025-10-28 21:20:58,2025-11-01 21:20:58,Hazardous,6.82,21.77,medium
